FIPS,pop,Property Values,Kirwan Opportunity Index,total_reviews,mean_rating,avg_sent,business_ct,log_reviews,log_business_ct,crime_ct,med_income,log_pop,log_crimes
535300,3950,69600,-0.506253,3002,4.228,0.2709137187449854,25,8.007034012193408,3.2188758248682006,96.0,33277,8.281470857895167,4.564348191467836
535700,1313,81400,-0.893963,918,3.8166666666666664,0.14336442223670903,6,6.822197390620491,1.791759469228055,35.0,40625,7.180069874302796,3.5553480614894135
536100,3327,57800,-0.846574,2746,4.223529411764706,0.2632836949398832,17,7.917900586327916,2.833213344056216,62.0,26750,8.109826276018477,4.127134385045092
536200,2165,70800,-0.348572,3859,4.140909090909091,0.22220902258070155,22,8.258163361537619,3.091042453358316,41.0,47857,7.68017564043659,3.713572066704308
536500,2097,75300,-0.544473,3083,3.905,0.19691967178258402,20,8.03365842788615,2.995732273553991,66.0,32500,7.64826303090192,4.189654742026425
536600,2535,46500,-0.72307,2167,4.014285714285714,0.2266155767206189,21,7.681099001536359,3.044522437723423,59.0,32597,7.837948916025283,4.07753744390572
536900,3374,81700,-0.648366,5843,4.144117647058824,0.2430018128648862,34,8.672999642554437,3.5263605246161616,86.0,35938,8.123854263105914,4.454347296253507
537000,3334,78200,-0.767665,1945,4.0058823529411764,0.2010113648934064,17,7.573017256052546,2.833213344056216,91.0,24931,8.111928063310739,4.51085950651685
537100,1946,74100,-0.572163,2646,3.9549999999999996,0.23542208523913163,20,7.880804344674901,2.995732273553991,52.0,30859,7.57353126274595,3.9512437185814275
537200,583,69900,-0.484348,3998,3.994444444444445,0.2062480680523649,18,8.293549515060345,2.8903717578961645,44.0,16328,6.368187186350492,3.784189633918261
537300,1987,72700,-0.653691,1213,4.06,0.212664965618467,15,7.10085190894405,2.70805020110221,50.0,40875,7.594381242551817,3.912023005428146
537500,2714,85100,-0.76516,282,4.025,0.13716845758597118,4,5.641907070938114,1.3862943611198906,78.0,31312,7.906178840394815,4.356708826689592
537700,2874,86600,-0.671162,726,4.16,0.24835287100730546,5,6.587550014824796,1.6094379124341003,83.0,47963,7.96346006663897,4.418840607796598
537800,1545,39800,-0.966035,3355,4.125,0.22475930500875793,24,8.118207049405783,3.1780538303479458,34.0,24375,7.3427791893318455,3.5263605246161616
538300,2162,191200,-0.822489,2279,4.08,0.2260118065944289,10,7.731492029245684,2.302585092994046,69.0,50239,7.6787889981991535,4.23410650459726
538600,4758,98900,-0.38554,3166,4.325,0.34170372781408537,32,8.060224240440958,3.4657359027997265,65.0,58750,8.467582690862903,4.174387269895637
538700,3823,87200,-0.646153,9290,4.166666666666667,0.23774670378750143,33,9.136693831807884,3.4965075614664802,90.0,36139,8.248790733696413,4.499809670330265
539100,1788,59000,-0.797942,1519,4.2272727272727275,0.23413936160364113,11,7.325807502595773,2.3978952727983707,42.0,34028,7.488852955733459,3.7376696182833684
539400,3707,105700,-0.437932,3977,4.0125,0.20959614635649026,24,8.28828304520769,3.1780538303479458,68.0,43333,8.217978203150732,4.219507705176107
539500,2921,93200,-0.703043,5445,3.9030303030303033,0.1868499988651697,33,8.602453035367061,3.4965075614664802,99.0,87761,7.979681302387741,4.59511985013459
539700,2072,106600,-0.525702,2052,4.115384615384615,0.2051592346639423,13,7.62657020629066,2.5649493574615367,38.0,26563,7.6362696033793735,3.6375861597263857
540100,3201,76600,-0.625552,3068,4.09375,0.23891109187857307,16,8.028781162487148,2.772588722239781,76.0,26250,8.071218539969863,4.330733340286331
540300,3746,68300,-0.47287,1845,3.82,0.18489743128850325,15,7.520234556474628,2.70805020110221,79.0,38750,8.228443883004033,4.3694478524670215
540800,2110,83700,-0.468828,2322,4.072222222222222,0.2035231520847321,18,7.7501841622578365,2.8903717578961645,38.0,54901,7.6544432264701125,3.6375861597263857
541000,3775,69100,-0.994694,3095,4.203846153846154,0.20704874795943248,26,8.037543185118697,3.258096538021482,82.0,47961,8.236155661683124,4.406719247264253
541100,2921,84800,-1.230312,997,3.8875,0.16985130794673678,16,6.904750769961838,2.772588722239781,56.0,22990,7.979681302387741,4.02535169073515
541200,2046,65200,-1.008247,4637,4.08,0.23195297059868752,20,8.441822884391462,2.995732273553991,31.0,20742,7.6236419465115715,3.4339872044851463
541300,2664,80900,-0.775784,6720,4.141935483870968,0.26700423697734776,31,8.812843433517195,3.4339872044851463,54.0,39853,7.88758403166028,3.9889840465642745
541400,2642,81600,-0.307586,4469,3.882142857142857,0.19691373508429938,28,8.404919948933452,3.332204510175204,49.0,41533,7.879291485082271,3.8918202981106265
541500,3625,108200,-0.293781,3518,3.5583333333333336,0.1452411291241745,12,8.165647925297504,2.4849066497880004,29.0,34201,8.195609567288775,3.367295829986474
541700,2538,88600,-0.685106,2298,4.053846153846154,0.26337525413639906,13,7.739794458408701,2.5649493574615367,33.0,31563,7.839131648274333,3.4965075614664802
541800,2533,91700,-0.460059,2412,4.15,0.23054422766603772,16,7.788211557847076,2.772588722239781,61.0,47912,7.837159650001675,4.110873864173311
542100,4547,87600,-0.494808,5674,4.140909090909091,0.2589444623319302,22,8.643649615368796,3.091042453358316,73.0,32154,8.42222295382501,4.290459441148391
542200,3644,78700,-0.823676,1899,4.0,0.14335966447749732,8,7.549082710812286,2.0794415416798357,45.0,24250,8.200837258379849,3.8066624897703196
542300,2255,83200,-0.606347,6545,3.9676470588235295,0.19528702018003188,34,8.786456678344,3.5263605246161616,58.0,25557,7.720905251936779,4.060443010546419
